	geo_value	signal	week_ending	issue	lag	missing_value	missing_stderr	missing_sample_size	value	stderr	sample_size	geo_type	data_source	original_count	delta_count	omicron_count
0	us	confirmed_7dav_incidence_num	2021-01-30	2022-02-18	384	0	5	5	143414.0			nation	usa-facts	0.0	0.0	0.0
0	us	confirmed_7dav_incidence_num	2021-02-13	2022-02-18	370	0	5	5	90953.7142857			nation	usa-facts	0.0	0.0	0.0
0	us	confirmed_7dav_incidence_num	2021-02-27	2022-02-18	356	0	5	5	65429.7142857			nation	usa-facts	0.0	0.0	0.0
0	us	confirmed_7dav_incidence_num	2021-03-13	2022-02-18	342	0	5	5	52677.2857143			nation	usa-facts	0.0	0.0	0.0
0	us	confirmed_7dav_incidence_num	2021-03-27	2022-02-18	328	0	5	5	61242.2857143			nation	usa-facts	0.0	0.0	0.0
0	us	confirmed_7dav_incidence_num	2021-04-10	2022-02-18	314	0	5	5	67830.2857143			nation	usa-facts	0.0	0.0	0.0
0	us	confirmed_7dav_incidence_num	2021-04-24	2022-02-18	300	0	5	5	56804.7142857			nation	usa-facts	0.0	0.0	0.0
0	us	confirmed_7dav_incidence_num	2021-05-08	2022-02-18	286	0	5	5	40601.1428571			nation	usa-facts	28129.72716764478	669.4170781750049	0.0
0	us	confirmed_7dav_incidence_num	2021-05-15	2022-02-18	279	0	5	5	32777.4285714			nation	usa-facts	25330.695177213693	783.0788937810886	0.0
0	us	confirmed_7dav_incidence_num	2021-05-22	2022-02-18	272	0	5	5	24995.8571429			nation	usa-facts	19136.407609331633	989.5760484392009	0.0
0	us	confirmed_7dav_incidence_num	2021-05-29	2022-02-18	265	0	5	5	20026.4285714			nation	usa-facts	14390.885134882914	1472.82849899682	0.0
0	us	confirmed_7dav_incidence_num	2021-06-05	2022-02-18	258	0	5	5	14104.2857143			nation	usa-facts	9568.42018161406	2069.464757529721	0.0
0	us	confirmed_7dav_incidence_num	2021-06-12	2022-02-18	251	0	5	5	8395.2857143			nation	usa-facts	4725.083702635077	2197.2482184634814	0.0
0	us	confirmed_7dav_incidence_num	2021-06-19	2022-02-18	244	0	5	5	11501.2857143			nation	usa-facts	5446.731790415258	4316.620593600015	0.0
0	us	confirmed_7dav_incidence_num	2021-06-26	2022-02-18	237	0	5	5	11875.1428571			nation	usa-facts	3909.777451990697	6520.141717887235	0.0
0	us	confirmed_7dav_incidence_num	2021-07-03	2022-02-18	230	0	5	5	14468.2857143			nation	usa-facts	3098.6480868276476	10163.697996183622	0.0
0	us	confirmed_7dav_incidence_num	2021-07-10	2022-02-18	223	0	5	5	19981.2857143			nation	usa-facts	2284.3216703305643	16418.803038864295	0.0
0	us	confirmed_7dav_incidence_num	2021-07-17	2022-02-18	216	0	5	5	42128.0			nation	usa-facts	2920.056394517418	37088.891149520874	0.0
0	us	confirmed_7dav_incidence_num	2021-07-24	2022-02-18	209	0	5	5	44206.2857143			nation	usa-facts	1342.8555191227392	41761.26191814955	0.0
0	us	confirmed_7dav_incidence_num	2021-07-31	2022-02-18	202	0	5	5	79941.4285714			nation	usa-facts	1391.4008934451585	77207.08762889895	0.0
0	us	confirmed_7dav_incidence_num	2021-08-07	2022-02-18	195	0	5	5	103377.1428571			nation	usa-facts	1107.242280851043	100483.06376998006	0.0
0	us	confirmed_7dav_incidence_num	2021-08-14	2022-02-18	188	0	5	5	125157.7142857			nation	usa-facts	688.3011009468817	123659.24280192463	0.0
0	us	confirmed_7dav_incidence_num	2021-08-21	2022-02-18	181	0	5	5	137010.0			nation	usa-facts	308.2496143388491	135527.4903649092	0.0
0	us	confirmed_7dav_incidence_num	2021-08-28	2022-02-18	174	0	5	5	152685.0			nation	usa-facts	292.7385278983268	150667.12128907442	0.0
0	us	confirmed_7dav_incidence_num	2021-09-04	2022-02-18	167	0	5	5	147482.4285714			nation	usa-facts	169.85132019850994	146322.16987399262	0.0
0	us	confirmed_7dav_incidence_num	2021-09-11	2022-02-18	160	0	5	5	151539.0			nation	usa-facts	57.63013174161238	150539.18245053288	0.0
0	us	confirmed_7dav_incidence_num	2021-09-18	2022-02-18	153	0	5	5	144499.4285714			nation	usa-facts	56.537858961655	143307.25688427407	0.0
0	us	confirmed_7dav_incidence_num	2021-09-25	2022-02-18	146	0	5	5	118328.7142857			nation	usa-facts	34.40005067655609	118221.58716512854	0.0
0	us	confirmed_7dav_incidence_num	2021-10-02	2022-02-18	139	0	5	5	106665.1428571			nation	usa-facts	0.0	105874.69801326313	60.04562502431028
0	us	confirmed_7dav_incidence_num	2021-10-09	2022-02-18	132	0	5	5	95382.0			nation	usa-facts	3.099915095181698	94946.60385990144	13.34618785310406
0	us	confirmed_7dav_incidence_num	2021-10-16	2022-02-18	125	0	5	5	82530.8571429			nation	usa-facts	1.440163464290777	82183.0631983707	0.0
0	us	confirmed_7dav_incidence_num	2021-10-23	2022-02-18	118	0	5	5	72453.4285714			nation	usa-facts	0.220074780665362	71878.7058533317	1.6130159611464583
0	us	confirmed_7dav_incidence_num	2021-10-30	2022-02-18	111	0	5	5	72464.8571429			nation	usa-facts	0.10920795708454831	71930.8260535257	1.3855727318159266
0	us	confirmed_7dav_incidence_num	2021-11-06	2022-02-18	104	0	5	5	71595.1428571			nation	usa-facts	0.0	70692.4334838989	0.0
0	us	confirmed_7dav_incidence_num	2021-11-13	2021-12-04	21	0	5	5	80621.8571429			nation	usa-facts	0.0	79493.84324118038	0.0
0	us	confirmed_7dav_incidence_num	2021-11-20	2021-11-25	5	0	5	5	89649.2857143			nation	usa-facts	0.0	88208.64232481932	0.0
0	us	confirmed_7dav_incidence_num	2021-11-27	2021-12-02	5	0	5	5	78946.7142857			nation	usa-facts	0.0	78849.22855982886	54.74459593261425
0	us	confirmed_7dav_incidence_num	2021-12-04	2021-12-09	5	0	5	5	112083.1428571			nation	usa-facts	0.0	111175.90038712542	688.5907323280602
0	us	confirmed_7dav_incidence_num	2021-12-11	2021-12-15	4	0	5	5	118614.7142857			nation	usa-facts	0.0	109615.19941510854	8747.544036468229
0	us	confirmed_7dav_incidence_num	2021-12-18	2021-12-24	6	0	5	5	135783.7142857			nation	usa-facts	0.0	83752.23806436543	51500.986107335455
0	us	confirmed_7dav_incidence_num	2021-12-25	2021-12-30	5	0	5	5	202060.4285714			nation	usa-facts	0.0	51004.87787646185	149758.993397735
0	us	confirmed_7dav_incidence_num	2022-01-01	2022-01-07	6	0	5	5	418518.2857143			nation	usa-facts	0.0	40589.03132327678	386170.2128505299
0	us	confirmed_7dav_incidence_num	2022-01-08	2022-01-14	6	0	5	5	706382.7142857			nation	usa-facts	0.0	31055.36915872662	694515.3621076792
0	us	confirmed_7dav_incidence_num	2022-01-15	2022-01-20	5	0	5	5	734051.0			nation	usa-facts	0.0	13078.983123729005	719695.7502843399
0	us	confirmed_7dav_incidence_num	2022-01-22	2022-01-27	5	0	5	5	696518.1428571			nation	usa-facts	0.0	4866.513477701141	691651.6157570543
0	us	confirmed_7dav_incidence_num	2022-02-12	2022-02-18	6	0	5	5	182241.0			nation	usa-facts	0.0	9.278727830163577	182231.28017969054
0	us	confirmed_7dav_incidence_num	2022-02-19	2022-02-24	5	0	5	5	99365.1428571			nation	usa-facts	0.0	1.3040039161882129	99363.76954865002
0	us	confirmed_7dav_incidence_num	2022-02-26	2022-03-19	21	0	5	5	61133.7142857			nation	usa-facts	0.0	0.23485817856397986	61133.46149337565
0	us	confirmed_7dav_incidence_num	2022-03-05	2022-03-19	14	0	5	5	45872.5714286			nation	usa-facts	0.0	0.04409818832355234	45872.52460511118
0	us	confirmed_7dav_incidence_num	2022-06-18	2022-06-28	10	0	5	5	105057.7142857			nation	usa-facts	0.0	0.00029584260389264817	49430.529181774946
0	us	confirmed_7dav_incidence_num	2022-06-25	2022-07-02	7	0	5	5	89524.5714286			nation	usa-facts	0.0	6.035654431791111e-05	51898.506554175154
0	us	confirmed_7dav_incidence_num	2022-07-23	2022-08-17	25	0	5	5	114597.5714286			nation	usa-facts	0.0	0.012393118796539315	104781.48179843038
0	us	confirmed_7dav_incidence_num	2022-07-30	2022-08-17	18	0	5	5	109751.2857143			nation	usa-facts	0.0	0.0036971168773826326	102376.70033530417
